Date,Year,Month,"Nuclear Generating Units, Net Summer Capacity",Nuclear Electricity Net Generation,Nuclear Share of Electricity Net Generation,"Nuclear Generating Units, Capacity Factor"
1976-04-01,1976,April,38.232,10982,7.2,40.0
1976-05-01,1976,May,39.071,11929,7.6,41.0
1976-06-01,1976,June,39.881,15757,9.1,54.9
1976-07-01,1976,July,39.881,17709,9.5,59.7
1976-08-01,1976,August,39.818,18363,9.8,62.0
1976-09-01,1976,September,40.884,17290,10.5,58.7
1976-10-01,1976,October,40.884,17355,10.6,57.0
1976-11-01,1976,November,40.884,16134,9.5,54.8
1976-12-01,1976,December,43.822,21115,11.5,64.8
1977-01-01,1977,January,44.559,22152,11.3,66.8
1977-02-01,1977,February,44.559,19601,12.0,65.5
1977-03-01,1977,March,44.559,20672,12.2,62.4
1977-04-01,1977,April,44.559,19867,12.6,62.0
1977-05-01,1977,May,44.559,20599,12.1,62.1
1977-06-01,1977,June,44.559,21517,11.9,67.1
1977-07-01,1977,July,44.559,21825,11.0,65.8
1977-08-01,1977,August,46.303,22750,11.6,66.2
1977-09-01,1977,September,46.303,19630,11.1,59.0
1977-10-01,1977,October,46.303,19041,11.4,55.3
1977-11-01,1977,November,46.303,19458,11.6,58.5
1977-12-01,1977,December,46.303,23771,12.9,69.0
1978-01-01,1978,January,46.303,25833,13.0,75.0
1978-02-01,1978,February,46.303,21833,12.6,70.2
1978-03-01,1978,March,47.403,22449,12.9,63.7
1978-04-01,1978,April,49.198,17580,11.0,49.7
1978-05-01,1978,May,49.198,20416,11.6,55.8
1978-06-01,1978,June,49.198,22185,11.8,62.6
1978-07-01,1978,July,49.198,25007,12.3,68.3
1978-08-01,1978,August,49.198,25599,12.4,69.9
1978-09-01,1978,September,49.966,22189,11.9,61.7
1978-10-01,1978,October,49.966,22997,13.1,60.9
1978-11-01,1978,November,49.966,24901,14.1,69.2
1978-12-01,1978,December,50.824,25415,13.2,67.2
1979-01-01,1979,January,50.627,27792,13.2,73.8
1979-02-01,1979,February,50.627,25911,13.9,76.2
1979-03-01,1979,March,49.747,24335,13.3,65.7
1979-04-01,1979,April,49.747,18418,10.8,51.6
1979-05-01,1979,May,49.747,15025,8.4,40.6
1979-06-01,1979,June,49.747,16065,8.6,44.9
1979-07-01,1979,July,49.747,20825,10.3,56.3
1979-08-01,1979,August,49.747,24204,11.8,65.4
1979-09-01,1979,September,49.747,21804,12.0,61.0
1979-10-01,1979,October,49.747,20934,11.6,56.5
1979-11-01,1979,November,49.747,19255,10.8,53.9
1979-12-01,1979,December,49.747,20586,10.9,55.6
1980-01-01,1980,January,49.747,19746,9.9,53.4
1980-02-01,1980,February,49.747,19277,10.2,55.7
1980-03-01,1980,March,49.747,20039,10.7,54.1
1980-04-01,1980,April,49.747,18794,11.1,52.5
1980-05-01,1980,May,49.747,18385,10.4,49.7
1980-06-01,1980,June,49.747,18322,9.7,51.2
1980-07-01,1980,July,50.895,21024,9.7,55.5
1980-08-01,1980,August,51.81,24333,11.3,63.1
1980-09-01,1980,September,51.81,23572,12.3,63.2
1980-10-01,1980,October,51.81,24510,13.7,63.5
1980-11-01,1980,November,51.81,20984,11.7,56.3
1980-12-01,1980,December,51.81,22130,11.3,57.4
1981-01-01,1981,January,51.81,23779,11.5,61.7
1981-02-01,1981,February,51.81,21595,12.0,62.0
1981-03-01,1981,March,51.81,22004,11.8,57.1
1981-04-01,1981,April,51.81,20646,11.9,55.4
1981-05-01,1981,May,52.638,19723,11.1,50.4
1981-06-01,1981,June,53.744,21166,10.4,54.7
1981-07-01,1981,July,53.744,23080,10.5,57.7
1981-08-01,1981,August,53.744,26946,12.8,67.4
1981-09-01,1981,September,54.894,24398,13.0,61.7
1981-10-01,1981,October,54.894,20556,11.3,50.3
1981-11-01,1981,November,54.894,22783,13.0,57.6
1981-12-01,1981,December,56.042,25997,13.3,62.3
1982-01-01,1982,January,56.042,25678,12.2,61.6
1982-02-01,1982,February,56.042,20188,11.2,53.6
1982-03-01,1982,March,56.042,22755,12.1,54.6
1982-04-01,1982,April,56.042,21785,12.6,54.1
1982-05-01,1982,May,56.042,21639,12.2,51.9
1982-06-01,1982,June,56.042,24026,12.9,59.5
1982-07-01,1982,July,56.042,25467,12.1,61.1
1982-08-01,1982,August,56.042,24986,12.1,59.9
1982-09-01,1982,September,58.16,25391,14.0,60.6
1982-10-01,1982,October,58.1,23248,13.4,53.7
1982-11-01,1982,November,60.035,23235,13.4,53.8
1982-12-01,1982,December,60.035,24376,13.2,54.6
1983-01-01,1983,January,59.532,25073,12.8,56.6
1983-02-01,1983,February,59.632,22198,12.9,55.4
1983-03-01,1983,March,59.632,23890,13.1,53.9
1983-04-01,1983,April,59.658,22335,13.1,52.1
1983-05-01,1983,May,59.883,22051,12.6,49.5
1983-06-01,1983,June,61.686,24152,12.6,54.4
1983-07-01,1983,July,61.23,25602,11.6,56.2
1983-08-01,1983,August,61.44,26201,11.4,57.3
1983-09-01,1983,September,62.227,25007,12.8,55.8
1983-10-01,1983,October,62.876,25797,14.1,55.1
1983-11-01,1983,November,62.809,25010,13.7,55.3
1983-12-01,1983,December,63.009,26361,12.4,56.5
1984-01-01,1984,January,63.009,29313,13.5,62.5
1984-02-01,1984,February,63.009,28436,15.0,64.8
1984-03-01,1984,March,64.057,27345,13.6,57.4
1984-04-01,1984,April,65.157,24231,13.4,51.7
1984-05-01,1984,May,65.157,25867,13.4,53.4
1984-06-01,1984,June,66.207,25299,12.0,53.1
1984-07-01,1984,July,66.207,28284,12.8,57.4
1984-08-01,1984,August,67.446,29493,12.8,58.8
1984-09-01,1984,September,67.446,29146,14.9,60.0
1984-10-01,1984,October,68.566,24774,13.0,48.6
1984-11-01,1984,November,69.652,24575,12.9,49.0
1984-12-01,1984,December,69.652,30872,15.4,59.6
1985-01-01,1985,January,70.675,36186,15.9,68.8
1985-02-01,1985,February,71.795,30812,15.5,63.9
1985-03-01,1985,March,72.899,31041,15.9,57.2
1985-04-01,1985,April,72.899,26458,14.3,50.5
1985-05-01,1985,May,72.899,28697,14.6,52.9
1985-06-01,1985,June,75.275,30837,15.0,56.9
1985-07-01,1985,July,76.354,35184,15.5,61.9
1985-08-01,1985,August,78.478,34812,15.4,59.6
1985-09-01,1985,September,78.478,34508,17.0,61.1
1985-10-01,1985,October,78.478,31205,16.0,53.4
1985-11-01,1985,November,79.397,30166,15.7,52.8
1985-12-01,1985,December,79.397,33782,15.4,57.2
1986-01-01,1986,January,80.604,36219,16.6,60.4
1986-02-01,1986,February,80.604,32721,17.0,60.4
1986-03-01,1986,March,80.604,30773,15.6,51.3
1986-04-01,1986,April,81.863,30477,16.4,51.8
1986-05-01,1986,May,82.995,31924,16.2,51.7
1986-06-01,1986,June,82.995,31334,14.6,52.4
1986-07-01,1986,July,84.048,35894,14.8,57.4
1986-08-01,1986,August,84.048,37483,16.6,59.9
1986-09-01,1986,September,84.048,36593,17.7,60.5
1986-10-01,1986,October,84.048,36214,18.3,57.8
1986-11-01,1986,November,85.241,34944,17.8,56.9
1986-12-01,1986,December,85.241,39463,18.5,62.2
1987-01-01,1987,January,87.248,39975,17.9,61.6
1987-02-01,1987,February,87.248,36598,18.8,62.4
1987-03-01,1987,March,88.446,37290,18.4,56.7
1987-04-01,1987,April,89.33,33518,17.7,52.2
1987-05-01,1987,May,89.33,34320,16.6,51.6
1987-06-01,1987,June,89.33,36560,16.2,56.8
1987-07-01,1987,July,91.488,40056,16.1,58.8
1987-08-01,1987,August,92.324,41352,16.7,60.2
1987-09-01,1987,September,92.324,39666,18.6,59.7
1987-10-01,1987,October,92.324,36492,18.0,53.1
1987-11-01,1987,November,93.583,37438,18.7,55.6
1987-12-01,1987,December,93.583,42006,19.0,60.3
1988-01-01,1988,January,93.583,44658,18.7,64.1
1988-02-01,1988,February,92.743,42246,19.5,65.4
1988-03-01,1988,March,93.982,43912,20.5,62.8
1988-04-01,1988,April,93.982,40067,20.4,59.3
1988-05-01,1988,May,95.089,40650,19.5,57.5
1988-06-01,1988,June,95.089,44079,18.9,64.4
1988-07-01,1988,July,94.695,49828,19.3,70.7
1988-08-01,1988,August,94.695,49035,18.3,69.5
1988-09-01,1988,September,94.695,46270,21.0,67.9
1988-10-01,1988,October,94.695,42591,20.2,60.4
1988-11-01,1988,November,94.695,39583,18.9,58.0
1988-12-01,1988,December,94.695,44052,18.9,62.5
1989-01-01,1989,January,94.695,46328,18.8,65.8
1989-02-01,1989,February,94.695,38725,16.6,60.9
1989-03-01,1989,March,97.031,39636,16.4,54.9
1989-04-01,1989,April,97.031,33495,15.0,48.0
1989-05-01,1989,May,97.031,38339,16.3,53.1
1989-06-01,1989,June,97.031,42976,17.1,61.5
1989-07-01,1989,July,97.323,52331,19.1,72.3
1989-08-01,1989,August,98.161,54948,20.0,75.2
1989-09-01,1989,September,98.161,44837,18.5,63.4
1989-10-01,1989,October,98.161,43558,18.5,59.6
1989-11-01,1989,November,98.161,43399,18.5,61.4
1989-12-01,1989,December,98.161,50784,18.5,69.5
1990-01-01,1990,January,98.161,55119,21.6,75.5
1990-02-01,1990,February,98.161,49963,21.8,75.7
1990-03-01,1990,March,99.311,46087,18.8,62.4
1990-04-01,1990,April,100.461,38516,16.8,53.3
1990-05-01,1990,May,100.461,42945,17.8,57.5
1990-06-01,1990,June,100.461,46332,17.2,64.1
1990-07-01,1990,July,100.497,53645,18.7,71.7
1990-08-01,1990,August,100.497,55758,19.2,74.6
1990-09-01,1990,September,99.624,48485,18.8,67.5
1990-10-01,1990,October,99.624,43395,17.8,58.5
1990-11-01,1990,November,99.624,45034,19.5,62.8
1990-12-01,1990,December,99.624,51582,20.2,69.6
1991-01-01,1991,January,99.624,54369,20.2,73.4
1991-02-01,1991,February,99.624,47863,21.0,71.5
1991-03-01,1991,March,99.624,49121,20.4,66.3
1991-04-01,1991,April,99.624,41631,18.3,58.1
1991-05-01,1991,May,99.624,46755,18.3,63.1
1991-06-01,1991,June,99.624,54208,20.1,75.6
1991-07-01,1991,July,99.589,60735,20.6,82.0
1991-08-01,1991,August,99.589,58473,20.0,78.9
1991-09-01,1991,September,99.589,51874,20.3,72.3
1991-10-01,1991,October,99.589,47653,19.4,64.2
1991-11-01,1991,November,99.589,46295,19.2,64.6
1991-12-01,1991,December,99.589,53589,21.1,72.3
1992-01-01,1992,January,99.589,57849,21.6,78.1
1992-02-01,1992,February,99.421,52804,22.0,76.3
1992-03-01,1992,March,99.421,45835,18.5,62.0
1992-04-01,1992,April,99.421,42268,18.1,59.1
1992-05-01,1992,May,99.421,45627,18.8,61.7
1992-06-01,1992,June,99.421,51185,19.6,71.5
1992-07-01,1992,July,99.421,56049,19.1,75.8
1992-08-01,1992,August,99.421,58656,20.8,79.3
1992-09-01,1992,September,99.421,50919,19.6,71.1
1992-10-01,1992,October,99.421,48784,19.9,65.9
1992-11-01,1992,November,99.421,50726,20.8,70.9
1992-12-01,1992,December,98.985,58075,21.7,78.9
1993-01-01,1993,January,97.881,59076,21.8,81.1
1993-02-01,1993,February,97.881,51319,20.7,78.0
1993-03-01,1993,March,97.881,46606,17.8,64.0
1993-04-01,1993,April,99.031,43199,18.4,60.7
1993-05-01,1993,May,99.031,50367,20.6,68.4
1993-06-01,1993,June,99.031,52620,19.1,73.8
1993-07-01,1993,July,99.031,56502,18.1,76.7
1993-08-01,1993,August,99.031,56209,18.0,76.3
1993-09-01,1993,September,99.031,49989,18.9,70.1
1993-10-01,1993,October,99.094,44434,17.7,60.2
1993-11-01,1993,November,99.094,46862,18.6,65.7
1993-12-01,1993,December,99.041,53108,19.5,72.1
1994-01-01,1994,January,99.041,56847,19.6,77.1
1994-02-01,1994,February,99.041,49821,20.0,74.9
1994-03-01,1994,March,99.041,48969,19.0,66.5
1994-04-01,1994,April,99.041,43192,17.9,60.7
1994-05-01,1994,May,99.041,48525,19.2,65.9
1994-06-01,1994,June,99.041,51751,17.6,72.6
1994-07-01,1994,July,99.041,59123,19.0,80.1
1994-08-01,1994,August,99.041,60104,19.5,81.5
1994-09-01,1994,September,99.041,55628,20.9,77.9
1994-10-01,1994,October,99.041,50703,19.8,68.6
1994-11-01,1994,November,99.041,55280,21.9,77.4
1994-12-01,1994,December,99.148,60497,22.4,82.0
1995-01-01,1995,January,99.148,63342,22.6,85.9
1995-02-01,1995,February,99.148,51858,20.6,77.8
1995-03-01,1995,March,99.148,51880,19.9,70.3
1995-04-01,1995,April,99.148,49321,20.2,69.2
1995-05-01,1995,May,99.148,54387,20.6,73.7
1995-06-01,1995,June,99.148,56381,19.7,79.0
1995-07-01,1995,July,99.515,62037,18.8,83.8
1995-08-01,1995,August,99.515,61661,17.8,83.3
1995-09-01,1995,September,99.515,55690,20.1,77.7
1995-10-01,1995,October,99.515,54293,20.6,73.2
1995-11-01,1995,November,99.515,52708,20.2,73.6
1995-12-01,1995,December,99.515,59844,21.0,80.8
1996-01-01,1996,January,99.515,62942,21.2,85.0
1996-02-01,1996,February,100.908,55928,20.7,79.7
1996-03-01,1996,March,100.908,55474,20.2,73.9
1996-04-01,1996,April,100.908,50325,20.0,69.4
1996-05-01,1996,May,100.908,55637,19.7,74.1
1996-06-01,1996,June,100.908,57498,19.0,79.1
1996-07-01,1996,July,100.908,60953,18.6,81.2
1996-08-01,1996,August,100.908,61477,18.7,81.9
1996-09-01,1996,September,100.908,54593,19.3,75.1
1996-10-01,1996,October,100.908,50612,18.6,67.3
1996-11-01,1996,November,100.908,52132,19.4,71.8
1996-12-01,1996,December,100.784,57159,20.1,76.2
1997-01-01,1997,January,100.784,58914,19.6,78.6
1997-02-01,1997,February,100.784,50658,19.6,74.8
1997-03-01,1997,March,100.784,50414,18.5,67.2
1997-04-01,1997,April,100.784,44883,17.4,61.9
1997-05-01,1997,May,100.784,47032,17.2,62.7
1997-06-01,1997,June,100.784,52095,17.4,71.8
1997-07-01,1997,July,100.784,57352,16.6,76.5
1997-08-01,1997,August,99.716,61084,18.3,82.3
1997-09-01,1997,September,99.716,52586,17.5,70.9
1997-10-01,1997,October,99.716,46981,16.5,63.3
1997-11-01,1997,November,99.716,51189,18.9,69.0
1997-12-01,1997,December,99.716,55457,18.7,74.8
1998-01-01,1998,January,99.716,57889,19.6,78.0
1998-02-01,1998,February,99.716,50999,19.6,76.1
1998-03-01,1998,March,99.716,53711,18.7,72.4
1998-04-01,1998,April,99.716,47503,18.2,66.2
1998-05-01,1998,May,99.716,51496,17.2,69.4
1998-06-01,1998,June,99.716,55732,16.9,77.6
1998-07-01,1998,July,97.07,61499,17.0,85.1
1998-08-01,1998,August,97.07,60369,16.9,83.6
1998-09-01,1998,September,97.07,57206,17.9,81.8
1998-10-01,1998,October,97.07,57429,20.2,79.5
1998-11-01,1998,November,97.07,57372,21.5,82.1
1998-12-01,1998,December,97.07,62497,21.0,86.5
1999-01-01,1999,January,97.502,65689,20.8,90.2
1999-02-01,1999,February,97.502,57489,20.9,87.4
1999-03-01,1999,March,97.502,58838,19.7,80.8
1999-04-01,1999,April,97.502,48529,17.3,68.8
1999-05-01,1999,May,97.502,56057,18.7,76.9
1999-06-01,1999,June,97.502,62300,18.9,88.4
1999-07-01,1999,July,97.502,66815,17.7,92.1
1999-08-01,1999,August,97.502,68143,18.7,94.1
1999-09-01,1999,September,97.502,60935,19.9,86.9
1999-10-01,1999,October,97.502,55343,19.5,76.7
1999-11-01,1999,November,97.502,60552,22.3,86.6
1999-12-01,1999,December,97.411,67563,22.9,94.4
2000-01-01,2000,January,97.411,70762,21.6,93.8
2000-02-01,2000,February,97.411,64179,21.8,91.0
2000-03-01,2000,March,97.411,62737,20.8,83.5
2000-04-01,2000,April,97.411,58259,20.4,80.2
2000-05-01,2000,May,97.411,63976,19.8,84.8
2000-06-01,2000,June,97.411,67299,19.8,92.1
2000-07-01,2000,July,97.411,68972,19.3,95.4
2000-08-01,2000,August,97.411,67226,18.2,93.8
2000-09-01,2000,September,97.411,58267,18.6,87.8
2000-10-01,2000,October,97.411,52470,18.1,76.2
2000-11-01,2000,November,97.411,56471,19.8,85.0
2000-12-01,2000,December,97.86,63276,19.8,93.2
2001-01-01,2001,January,98.159,68707,20.7,94.1
2001-02-01,2001,February,98.159,61272,21.7,92.9
2001-03-01,2001,March,98.159,62141,20.7,85.1
2001-04-01,2001,April,98.159,56003,20.1,79.2
2001-05-01,2001,May,98.159,61512,20.5,84.2
2001-06-01,2001,June,98.159,68023,20.8,96.3
2001-07-01,2001,July,98.159,69166,19.3,94.7
2001-08-01,2001,August,98.159,68389,18.5,93.7
2001-09-01,2001,September,98.159,63378,20.6,89.7
2001-10-01,2001,October,98.159,60461,20.5,82.8
2001-11-01,2001,November,98.159,62342,22.3,88.2
2001-12-01,2001,December,98.159,67431,22.1,92.3
2002-01-01,2002,January,98.657,70926,22.2,96.6
2002-02-01,2002,February,98.657,61658,21.9,93.0
2002-03-01,2002,March,98.657,63041,20.8,85.9
2002-04-01,2002,April,98.657,58437,20.2,82.3
2002-05-01,2002,May,98.657,63032,20.5,85.9
2002-06-01,2002,June,98.657,66372,19.5,93.4
2002-07-01,2002,July,98.657,70421,18.5,95.9
2002-08-01,2002,August,98.657,70778,18.9,96.4
2002-09-01,2002,September,98.657,64481,19.5,90.8
2002-10-01,2002,October,98.657,60493,19.7,82.4
2002-11-01,2002,November,98.657,61520,20.8,86.6
2002-12-01,2002,December,98.657,68905,21.2,93.9
2003-01-01,2003,January,99.209,69211,20.2,93.8
2003-02-01,2003,February,99.209,60942,20.4,91.4
2003-03-01,2003,March,99.209,59933,19.7,81.2
2003-04-01,2003,April,99.209,56776,19.9,79.5
2003-05-01,2003,May,99.209,62202,20.2,84.3
2003-06-01,2003,June,99.209,64181,19.5,89.9
2003-07-01,2003,July,99.209,69653,18.6,94.4
2003-08-01,2003,August,99.209,69024,18.1,93.5
2003-09-01,2003,September,99.209,63584,19.7,89.0
2003-10-01,2003,October,99.209,60016,19.6,81.3
2003-11-01,2003,November,99.209,59600,20.0,83.4
2003-12-01,2003,December,99.209,68612,20.7,93.0
2004-01-01,2004,January,99.628,70806,20.4,95.5
2004-02-01,2004,February,99.628,64102,20.4,92.4
2004-03-01,2004,March,99.628,63285,20.5,85.4
2004-04-01,2004,April,99.628,58620,20.2,81.7
2004-05-01,2004,May,99.628,64917,19.8,87.6
2004-06-01,2004,June,99.628,67734,19.6,94.4
2004-07-01,2004,July,99.628,71975,19.1,97.1
2004-08-01,2004,August,99.628,71068,19.3,95.9
2004-09-01,2004,September,99.628,65932,19.6,91.9
2004-10-01,2004,October,99.628,62530,20.0,84.4
2004-11-01,2004,November,99.628,58941,19.5,82.2
2004-12-01,2004,December,99.628,68617,20.1,92.6
2005-01-01,2005,January,99.988,69828,20.4,93.9
2005-02-01,2005,February,99.988,60947,20.4,90.7
2005-03-01,2005,March,99.988,61539,19.4,82.7
2005-04-01,2005,April,99.988,55484,19.2,77.1
2005-05-01,2005,May,99.988,62970,20.0,84.6
2005-06-01,2005,June,99.988,66144,18.2,91.9
2005-07-01,2005,July,99.988,71070,17.7,95.5
2005-08-01,2005,August,99.988,71382,17.6,96.0
2005-09-01,2005,September,99.988,66739,19.1,92.7
2005-10-01,2005,October,99.988,61236,19.4,82.3
2005-11-01,2005,November,99.988,62913,20.6,87.4
2005-12-01,2005,December,99.988,71735,20.6,96.4
2006-01-01,2006,January,100.334,71912,21.9,96.3
2006-02-01,2006,February,100.334,62616,20.4,92.9
2006-03-01,2006,March,100.334,63721,20.0,85.4
2006-04-01,2006,April,100.334,57567,19.3,79.7
