Date,Year,Month,"Nuclear Generating Units, Net Summer Capacity",Nuclear Electricity Net Generation,Nuclear Share of Electricity Net Generation,"Nuclear Generating Units, Capacity Factor"
2015-06-01,2015,June,98.672,68516,18.9,96.4
2015-07-01,2015,July,98.672,71412,17.8,97.3
2015-08-01,2015,August,98.672,72415,18.5,98.6
2015-09-01,2015,September,98.672,66476,19.0,93.6
2015-10-01,2015,October,98.672,60571,19.4,82.5
2015-11-01,2015,November,98.672,60264,20.0,84.8
2015-12-01,2015,December,98.672,69634,21.5,94.9
2016-01-01,2016,January,98.921,72525,20.6,98.5
2016-02-01,2016,February,98.921,65638,20.9,95.3
2016-03-01,2016,March,98.921,66149,21.7,89.9
2016-04-01,2016,April,98.921,62732,21.4,88.1
2016-05-01,2016,May,98.921,66576,21.0,90.5
2016-06-01,2016,June,100.043,67175,18.3,94.2
2016-07-01,2016,July,100.043,70349,17.1,94.5
2016-08-01,2016,August,100.043,71526,17.5,96.1
2016-09-01,2016,September,100.043,65448,18.6,90.9
2016-10-01,2016,October,99.565,60733,19.4,81.7
2016-11-01,2016,November,99.565,65179,21.9,90.9
2016-12-01,2016,December,99.565,71662,20.7,96.7
2017-01-01,2017,January,99.61,73121,21.2,98.7
2017-02-01,2017,February,99.61,63560,21.8,95.0
2017-03-01,2017,March,99.61,65093,20.4,87.8
2017-04-01,2017,April,99.61,56743,19.2,79.2
2017-05-01,2017,May,99.61,61313,19.0,82.8
2017-06-01,2017,June,99.61,67011,18.7,93.5
2017-07-01,2017,July,99.629,71314,17.6,96.2
2017-08-01,2017,August,99.629,72384,18.8,97.7
2017-09-01,2017,September,99.629,68098,20.3,95.0
2017-10-01,2017,October,99.629,65995,20.7,89.0
2017-11-01,2017,November,99.629,66618,21.6,92.9
2017-12-01,2017,December,99.629,73700,21.0,99.4
2018-01-01,2018,January,99.731,74649,20.0,100.6
2018-02-01,2018,February,99.731,64790,21.1,96.7
2018-03-01,2018,March,99.731,67033,20.8,90.3
2018-04-01,2018,April,99.731,59133,19.6,82.4
2018-05-01,2018,May,99.731,67320,19.8,90.7
2018-06-01,2018,June,99.731,69688,18.7,97.1
2018-07-01,2018,July,99.731,72456,17.6,97.7
2018-08-01,2018,August,99.731,72282,17.7,97.4
2018-09-01,2018,September,99.278,64725,18.2,90.3
2018-10-01,2018,October,99.278,59397,18.3,80.4
2018-11-01,2018,November,99.433,63954,19.8,89.3
2018-12-01,2018,December,99.433,71657,20.9,96.9
2019-01-01,2019,January,99.44,73701,20.5,99.7
2019-02-01,2019,February,99.44,64715,20.5,96.9
2019-03-01,2019,March,99.44,65080,19.9,88.0
2019-04-01,2019,April,99.595,60581,20.4,84.5
2019-05-01,2019,May,98.922,67124,20.3,90.9
2019-06-01,2019,June,98.922,68805,19.5,96.7
2019-07-01,2019,July,98.922,72199,17.6,98.1
2019-08-01,2019,August,98.922,71911,17.9,97.8
2019-09-01,2019,September,98.119,66064,18.3,93.1
2019-10-01,2019,October,98.119,62033,19.4,85.0
2019-11-01,2019,November,98.119,64125,20.3,90.8
2019-12-01,2019,December,98.119,73074,21.6,100.1
2020-01-01,2020,January,98.094,74170,21.7,101.6
2020-02-01,2020,February,98.094,65911,20.6,96.6
2020-03-01,2020,March,98.094,63997,20.7,87.7
2020-04-01,2020,April,97.082,59170,21.1,83.8
2020-05-01,2020,May,97.082,64338,21.1,89.1
2020-06-01,2020,June,97.082,67205,19.1,96.1
2020-07-01,2020,July,97.082,69385,16.9,96.0
2020-08-01,2020,August,97.082,68982,17.3,95.9
2020-09-01,2020,September,97.082,65727,19.7,94.6
2020-10-01,2020,October,97.102,59362,18.9,82.6
2020-11-01,2020,November,96.501,61760,20.5,88.8
2020-12-01,2020,December,96.501,69871,20.3,97.3
2021-01-01,2021,January,96.586,71732,20.5,99.9
2021-02-01,2021,February,96.586,62954,19.4,97.0
2021-03-01,2021,March,96.586,63708,20.5,88.7
2021-04-01,2021,April,95.546,57092,19.5,82.1
2021-05-01,2021,May,95.546,63394,19.8,89.2
2021-06-01,2021,June,95.546,66070,17.7,96.0
2021-07-01,2021,July,95.546,68832,17.0,96.8
2021-08-01,2021,August,95.546,69471,16.8,97.7
2021-09-01,2021,September,95.546,64520,18.6,93.8
2021-10-01,2021,October,95.546,58401,18.2,82.2
2021-11-01,2021,November,95.546,62749,20.0,91.2
2021-12-01,2021,December,95.546,70720,21.0,99.5
2022-01-01,2022,January,95.406,70577,18.9,99.4
2022-02-01,2022,February,95.406,61852,19.1,96.5
2022-03-01,2022,March,95.406,63154,19.5,89.0
2022-04-01,2022,April,95.406,55290,18.2,80.5
2022-05-01,2022,May,95.427,63382,18.5,89.3
2022-06-01,2022,June,94.659,65715,17.3,96.4
2022-07-01,2022,July,94.659,68857,16.3,97.8
2022-08-01,2022,August,94.659,68897,16.7,97.8
2022-09-01,2022,September,94.659,63733,18.1,93.5
2022-10-01,2022,October,94.659,58945,18.8,83.7
2022-11-01,2022,November,94.659,62041,19.3,91.0
2022-12-01,2022,December,94.659,69094,19.2,98.1
2023-01-01,2023,January,94.632,70870,20.4,100.7
2023-02-01,2023,February,94.632,60807,19.7,95.6
2023-03-01,2023,March,94.632,62820,19.0,89.2
2023-04-01,2023,April,94.632,56662,18.9,83.2
2023-05-01,2023,May,94.632,61473,18.8,87.3
2023-06-01,2023,June,94.632,64965,18.2,95.3
2023-07-01,2023,July,95.746,69888,16.4,99.1
2023-08-01,2023,August,95.746,69744,16.4,97.9
2023-09-01,2023,September,95.746,65560,18.3,95.1
2023-10-01,2023,October,95.746,61403,18.6,86.2
2023-11-01,2023,November,95.746,62258,19.3,90.3
2023-12-01,2023,December,95.746,68898,19.9,96.7
2024-01-01,2024,January,95.723,69080,18.2,97.1
2024-02-01,2024,February,95.723,64584,20.2,96.9
